Number,url,rest_name,number_of_reviews,rating,food_type,coupon,food,service,ambience,value,about_rest,comments,image_url
519,https://www.opentable.com/rasoi-burlingame?corrid=588afe1e-a195-4a2d-a9ed-9b5181c5b35e&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Rasoi,322 Reviews,4.7,Indian,$30 and under,4.7,4.5,4.3,4.6,"Rasoi is the next generation in the Aslam family’s vision to delight the Bay Area with their unique, award-winning Northern Indian and Pakistani cuisine. Sprung from master chef Mohammed Aslam’s widely celebrated flagship restaurant Aslam’s Rasoi in San Francisco’s Mission District, this creative collaboration by Mr. Aslam’s sons integrates the much beloved family-friendly Rasoi (Kitchen) concept into a contemporary restaurant and chill lounge setting on the peninsula. Executive Chef Asif Aslam performs magic in the kitchen by putting his own signature on a well-curated staple of mouth-watering family recipes. Drawing from his diverse experiences at his dad’s restaurant and as personal chef for a host of distinguished Bay Area personalities, one of the region’s most talented young restaurateurs enjoys nothing more than to enhance his culinary genes with the kinds of subtle accents known to elicit spontaneous “oohs.”","Read more We love Rasoi. Our favorite place to get Indian food in the peninsula.  Great service, food and ambiance.  2nd time there and not disappointed.   We will be back!!  It’s our favorite local Indian restaurant. Great food and at a good price.  Always is so pleasant to eat in this restaurant where the customer service is great and the food of course is outstanding .. very delicious with a great taste  Excellent food and service. Very reasonably priced.  We had great service and great food!!  Can’t wait to go again.  The food is rather like Indian cuisine but good quality. Beryani is closer to authenticity. Would go there again with friends who never ate real Indian food. (Traveled through India on many occasions and can’t be objective)  Great dining experience! They were very attentive, the food was flavorful and the environment was perfect for a date night.  Food was very good, staff was friendly and helpful, enjoyed dinner very much  Five of us ate here:  3 adults and 2 kids and we shared everything - one dish was so good we ordered two plus multiple orders of different types of naan. Food is great and the service was really great and waiters very attentive. We have been here before and will definitely keep going back. ",https://resizer.otstatic.com/v2/photos/xlarge/1/66661313.webp
520,https://www.opentable.com/angelino-restaurant?corrid=588afe1e-a195-4a2d-a9ed-9b5181c5b35e&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Angelino Restaurant,1010 Reviews,4.6,Italian,$31 to $50,4.6,4.6,4.6,4.2,"We are open for indoor and outdoor seating and curbside pickup Tuesday - Sunday 5:00 - 9:00 pm. To view our full menu and daily specials, visit our website at www.angelinorestaurant.com. Please call us at (415) 331-5225 to place an order or order online for curbside pickup.

Angelino Restaurant strives to give each customer a peek into Italy's spirit: delicious food, world-class wine, and unforgettable memories with family and friends. Experience the rich culture of Italy through the superb cuisine, friendly atmosphere, and warm hospitality of the Ancona family and the staff of Angelino Restaurant.

Executive Chef Alfredo Ancona excels at blending traditional Italian flavors with high-quality local ingredients. Chef Alfredo crafts our menu to highlight the freshest ingredients each season has to offer. Freshly baked bread, house-made pasta, and locally caught seafood are among the highlights of what new and old customers love to enjoy with us.","Read more Wonderful service! They even surprised us with a complimentary dessert for our Anniversary—which was a delicious crème brûlée! I didn’t really care for their house Cabernet Sauvignon (a little vinegary), but their house Chianti was excellent! I ordered the black cod because it isn’t available back at home in the Midwest and I had some at a restaurant in Mendocino…where it was prepared so deliciously it tasted like lobster. At Angelino’s though I was given a tail end and it didn’t taste as good as in Mendocino. Also, I asked them to substitute the potatoes for any other non-starchy vegetable they had but instead of substituting they just brought the fish on a bed of spinach. The spinach was delicious but I probably should have made sure the waiter understood that I wanted a substitution instead of just an exclusion.  I did not complain though  since everything else was delicious Also, my husband was in a wheelchair and they were very accommodating, which we greatly appreciated. Read more A great neighborhood restaurant with amazing food and a gracious family warmth and  the best sole meunière and the sea view is absolutely beautiful ! A jewel!  Food is not as good as it used to be, not worth the high prices.  found the food and service to be excellent. A bit noisy, but that was only one large party and was acceptable.  The table was ready when we arrived! Our waiter was timely as he always is!the martini with a twist was perfect. Caesar salad was excellent.  I had the linguini with seafood which I really enjoyed.  Prices have increased dramatically in last few months, and even more in the last year.  Angelino's is now above the range of the other good Southern Marin Italian restaurants, places of similar and better quality. A la carte pasta was pushing towards $40, focaccia bread $20, basic small salads $18. Too bad to write this off as I like it's location, but I'm not the only one as there were plenty of empty tables at prime time after the Jazz by the Bay when everywhere else was a scene. Read more Service was horrible.  Corkage $30.  Everything was very overpriced.  Poggio charges $20 corkage.  Not going back  Farm to table fresh produce and modern/classic Italian dishes to meet your heart‘s desire❤️A true family owned and operated neighborhood gem for 30+ years🥰  Brilliant service and a proper Pizza crust.
One bit of advice; You should make reservations.  Hopefully, this was just a bad night gut them,  but the whole evening was not good. The noise level was crazy loud, with the restaurant only half full.

The waiter made numerous mistakes. Brought the wrong cocktail, brought the wrong food for my wife.
He didn’t speak more than 20 words to us the whole two hours.

The appetizer was great, but the main courses were really not good.

View was phenomenal, but we will never go back there. Read more",https://resizer.otstatic.com/v2/photos/xlarge/1/52352466.webp
521,https://www.opentable.com/r/meyhouse-palo-alto-palo-alto?corrid=588afe1e-a195-4a2d-a9ed-9b5181c5b35e&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Meyhouse Palo Alto,613 Reviews,4.7,Mediterranean,$31 to $50,4.8,4.6,4.6,4.1,"""Welcome to our home. Meyhouse is a casual place where family and friends get together over a drink, mezes, unique seafood, and grilled delicacies.
Our philosophy is unique in many ways. We have an ingredient first approach, which means we handle ingredients as minimally as possible through the cooking process. We source the highest quality ingredients we can find and let them shine. Our recipes are as authentic as possible, no sous vide or modernist cuisine can be found here.""","Read more Truly exceptional food and service, we are so lucky to have Meyhouse in our community  Our waiter was amazing.  Absolutely loved the tasting menu!!  Ate outside which they have done a very good job in setting up.  Service was great.  The best were the Turkish ground beef dumplings and the lemon mashed potatoes.  We also had the artichokes with Shrimp.  The artichokes were excellent but the dish should have been at room temperature rather than so cold.  Bread was fabulous.  Fantastic Turkish food at it's BEST.
Even better than in Turkey.  The food is superb. In a few times that I've eaten there, I tried various things. Every item on the menu is so special. Service is fabulous. But I must say, ot is very loud and hard to talk as a result  The ambiance and food was great. We were however told three times by three different people that our time was up and someone else needed the table. It took away from the experience, especially since the service itself was very slow.  This restaurant is for a special night out - time to enjoy and celebrate, not just eat.  The food was amazing with many dishes to choose from and adventurous flavors (in their cocktails too!)
Very nice evening with friends!  Great Turkish varieties with good service. A bit pricey. The mediterranean fish varieties are great  Unbelievably good! Great service and great atmosphere too  Great atmosphere, service, and food. Worth the price! Make it a dinner date. ",https://resizer.otstatic.com/v2/photos/xlarge/2/54156918.webp
522,https://www.opentable.com/r/il-fornaio-burlingame?corrid=588afe1e-a195-4a2d-a9ed-9b5181c5b35e&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Il Fornaio - Burlingame,4400 Reviews,4.5,Italian,$30 and under,4.4,4.4,4.5,4.1,"Il Fornaio is renowned for its authentic award winning Italian cuisine. Specialties include wood-fired rotisserie and grilled meats, poultry and game; housemade pastas; pizzas from an oak wood burning oven; fresh salads and housemade soups; a wide variety of desserts; and fresh baked bread made daily from scratch. Annual winner of the Wine Spectator Award of Excellence."," We come to Il Fornaio often and the experience is almost always wonderful.  Yesterday it was exceptional!  The food was perfectly prepared, the service excellent and perfectly timed, and we were graciously welcomed when we arrived!  Pizza is thin and delicious. Kids loved coloring the Mona Lisa pictures! Their chicken nuggets were nice and meaty. Mimosas were perfectly made. All good!  We had a wonderful experience, and a delicious birthday dinner. Everything we ordered was fresh and cooked to perfection. Delicious desserts, and outstanding service by Mr. Lee.  We have been dining at Il Fornaio for over 15 years and it’s always a pleasure!  Klama, our server, was terrific. Really made the evening special.  Disappointing dinner experience!  The service was extremely poor! EXTREMELY!!  I could list about 6 items that were horrible!  The kitchen and bar could not coordinate the timing of anything!   The bus staff never cleared anything on their own. We had to ask repeatedly to have plates and glasses removed. The waiter, while very nice, was too preoccupied with his other tables to recognize that things were amiss at our table. The pasta sauces were extremely bland!  A few items were good (the bread and the cheesecake) but the main dishes were just not good!  But the service could have made the experience better….but it didn’t.  I will not be returning. Read more This place is always a 10/10. The food and employees are always so good and helpful.  Joseph, Heather and Trevor helped us to have an enjoyable Dining experience at our favorite
Restaurant. The food was very Delicious as was the Service. Thank you ☺️  My family and I had a wonderful dinner at Il Fornaio. Our server, Sofia, was lively and knowledgeable. She leveled up our dinning experience.  We enjoyed the different cocktails and our dinner choices  Everything was great from our good to our server Joshua and manager Nick .. thank you  Our waiter did not listen to any of our requests and did not check in with us during our meal ",https://resizer.otstatic.com/v2/photos/xlarge/1/25153358.webp
523,https://www.opentable.com/r/pizzeria-delfina-burlingame?corrid=588afe1e-a195-4a2d-a9ed-9b5181c5b35e&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Pizzeria Delfina Burlingame,383 Reviews,4.7,Italian,$30 and under,4.7,4.6,4.4,4.2,"Inspired by the best pizza of New York City and Naples, Italy. In 2005, Annie and Craig Stoll annexed the space next door to their James Beard Award winning Delfina restaurant fulfilling a long time dream of bringing Neapolitan-inspired pizzas to San Francisco. The 600 square foot space was an instant neighborhood hotspot, and Pizzeria Delfina became the """"darling of the San Francisco food scene"""" opening a second location in 2008 to popular demand. In December 2013, Annie and Craig expanded into the Peninsula with Pizzeria Delfina in Burlingame. This energetic, farmers-to-table restaurant serves up Neapolitan-inspired pizza complemented by a daily-changing roster of seasonal antipasti, piatti (small entrees), beer, wine and more. A family-owned business, Pizzeria Delfina is a neighborhood establishment through and through that continues to bring people together around fresh, handmade, delicious food in a warm, casual atmosphere.","Read more Pizzeria Delfina is a great go-to.  Food is wonderful and the ambiance is comfortable.  The weather was great and we got to sit outside.

The 3 service star was only for service that was a bit slow.  The wait staff was very friendly and doing their best.

The gluten free pizza crust is the best and the caprese salad was amazing. Read more There’s delphina pre and post covid and it’s like two different enterprises.  The vibrant soul that was …. Has vanished.  As far as the pizza.  I think they are using different flour for the crust.  It’s different… and beyond the crust , it’s kinda bad.   Not bad as in off , but bad as in a dry, lacking cheese , lacking sauce , flavourless unseasoned mass of stuff.   Second test in a month. Same outcome.  The bones are the same but the soul has gone. Read more Very friendly staff and good pizza. Caprese salad was especially fresh and delicious.  Our favorite restaurant in Burlingame! Food is always amazing!  Came back to bring my son to try the buttermilk fried chicken on the Monday special day…food was good…pomodoro, prosciutto pizza and eggplant were all good. Service was good. The only drawback this time around was that especially on a hot day we were seated upstairs even though there were quite a few tables open downstairs and it was uncomfortably hot while eating. I thought about asking to move but we ended up sticking it out and eating. Read more Outstanding food.  Service was a little patchy - kept trying to take away plate with EVOO.  Brought wrong wine, but o/w solid.   Definitely on high end in terms of value.  But good is simple but very good.  This is our favorite restaurant. The pizza is great same as in Italy. The service is always great and the kids love having dinner there.  Little Gem Salad was delish; Margherita and Carbonara pizzas were excellent. Love their homemade lemonade served in a carafe; try the sparkling option. Only issue was timing of the pizzas—our 2 Margheritas arrived quickly; everyone was finished when the Carbonara finally arrived.  Always a pleasure to go here with the family. Great for kids and families. Food was incredible. The pizza is just like in Italy.  One of our favorite restaurants in Burlingame. Food is always excellent! ",https://resizer.otstatic.com/v2/photos/xlarge/2/63132127.webp
524,https://www.opentable.com/r/sushi-shio-san-francisco?corrid=588afe1e-a195-4a2d-a9ed-9b5181c5b35e&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Sushi Shio,295 Reviews,4.7,Japanese,$50 and over,4.6,4.8,4.7,4.6,"Check out our new menu offerings. We are also offering Pick-up/Delivery options for your added convenience. Please search us at DoorDash.

Please kindly leave a note if you have severe food allergy or dietary restrictions.

Thank you and we look forward to serving you soon."," I absolutely love the tasting menu at this restaurant. Everything is so thoughtfully prepared and served. They always provide something I've never had before. The color, aroma, texture, taste... everything is perfect. And the staff are so charming and helpful! Somehow it feels classic, innovative, and quirky -- very Japanese-in-SF.  Superlative value for food and experience! Manhattan was also very reasonably priced. Wine, not so much: we paid a collective $60 (outside tax and tip) for two 4-ish oz pours. Would highly recommend but perhaps bring your own bottle; corkage, even if steep ($50+) would probably have been a much better value than the glasses.  Amazing service. We had the omakase but had a hard time stop. The staff went out of their way to serve things turbo fast for us. Food was delicious, especially the supplemental dishes.  The chiefs tasting menu was amazing, with a broad offering and many interesting and tasty flavor combinations  An amazing experience! We will be back! Excellent service and food was next level. Do yourself a favor if you like sushi try Sushi Shio!  Upon entering  Sushi Shio, we were greeted by friendly staff. They were so knowledgable with suggestions on what to order whether it be drinks or food selection. We opted for the Shio tasting which was a delightful experience. Every course presented was sensational to all of the senses. At the end of the meal the server took a polaroid picture for us to keep as a momento. Overall it was a wonderful experience, and would not hesitate to book a reservation there again! Read more Very excellent fish, it’s truly exceptional, I will return  This fish was top notch. Excellent. Great service. Beautiful presentation. Worth the $$.  Great food quality, fresh and delicious! Lively to loud guests and great service.  Quality sushi in intimate, quiet setting, with slower-paced service ",https://resizer.otstatic.com/v2/photos/xlarge/2/28328953.webp
525,https://www.opentable.com/india-beach?corrid=588afe1e-a195-4a2d-a9ed-9b5181c5b35e&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,India Beach,54 Reviews,4.5,Indian,$30 and under,4.6,4.4,4.3,4.5,"Welcome to India Beach Restaurant, part of the Clay Oven Family.
We are El Granada's premier, authentic Indian restaurant for all your eat-in, take-out, catering, and special event needs.
We prepare delicious Indian dishes using the centuries old traditional Tandoor fired up to 1000 degrees.
Please come and visit us soon!"," Food was fresh and delicious. I also liked the location and the floor sitting arrangement. Good place to eat, drink and relax.  Great Restaurant with great food and best service.  Indian Beach is one of our favorite local spots. The service is excellent, the food is delicious. It’s a very nice family run restaurant. My favorite dishes are the Saag Paneer and my son loves the mix seafood grill. The lamb is excellent as well. Many people pick up food for takeout there, but I love the atmosphere and really enjoy dining in.

It’s less than two blocks from the harbor, but because it’s not on a major Road, I think most people don’t know about this little gem so you can usually get seated right away .
￼ Read more What a beautiful place. The only spot i know in the bay area with ocean view and Indian food. The food quality was on point. We had a good time.  Really good food.  Great variety and friendly, attentive service.  Food was very bland. We even ordered medium and no spice what so ever. The paneer tasted like rubber. Nice place but maybe an off night for their food. We’ve had much better.  Our best meal when we stayed in the half moon Bay Area. Very inexpensive-comparatively. Great service and large portions as well.  Our favorite for excellent Indian food. As always, good food, service and value.  Such a lovely spot with great food and kind wait staff. Food was delicious and they were very accommodating.  Very good food and very reasonable price. I have had a lot of good Indian food and this restaurant is one of the top ",https://resizer.otstatic.com/v2/photos/xlarge/1/25189457.webp
526,https://www.opentable.com/r/isola-osteria-danville?corrid=588afe1e-a195-4a2d-a9ed-9b5181c5b35e&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Isola Osteria,229 Reviews,4.2,Italian,$30 and under,4.3,3.8,4,3.9,"Welcome to Isola Osteria, the newest Sicilian gem in downtown Danville open for happy hour and dinner—a culinary haven where our family's traditions and delectable flavors converge to offer an unforgettable experience. As a family-owned and operated establishment, our carefully perfected recipes reflect the vibrant and bold tapestry of Sicilian cuisine. From classic favorites to unique specialties, our curated menu invites you to savor every bite while enjoying the warmth and hospitality that define our family. The cozy atmosphere, adorned with elements of our homeland, captures the spirit of a Sicilian family gathering. Whether you're celebrating a special occasion or seeking a place to unwind, we look forward to welcoming you into our extended family at Isola Osteria. Thank you for choosing us; we can't wait to create cherished memories together.","Read more Such bad service 
Waiters wearing gym shorts and t shirt just weird 
Food just ok  Very disappointed!  The restaurant is small. There is a lot of outdoor seating.   There was only one waiter in the restaurant section so the service was very slow.  It is also very noisy and the food was just average.
I would not go back.  Beautiful restaurant good service, but the food was mediocre at best. ￼  A wonderful local Italian - fresh ingredients and delicious.  Our first and last experience. Restaurant is located practically in the middle of a traffic intersection and parking lot. The acoustics inside are very poor but worse outside. Food is okay. Presentation poor. Service indifferent. Very disappointing.  The food was delicious but the service was SLOW.  Went for a Birthday, never acknowledged it. One waiter for the entire outdoor patio!  Never came around to see if we wanted another drink and he was clearly overwhelmed.  If you want folks to return, hire more staff and acknowledge its a Birthday.  We even mentioned it to him and he said nothing.  We had a lovely time, ate outside and enjoyed an evening downtown. Delicious seafood risotto and the pasta fagioli is my favorite. I had just been to this restaurant for lunch, earlier in the week. Ate a yummy salad with thinly sliced octopus in a light dressing of EVOO and lemon. Our server, Marcus, was attentive and most welcoming.  The food here is always delicious and the service friendly and attentive. Definitely recommend.  gnocchi and cioppino were excellent
inside was pleasant until a really loud group of six came in.
the outside tables are great in good weather.  A great addition to the local options for dining out. ",https://resizer.otstatic.com/v2/photos/xlarge/2/59096463.webp
527,https://www.opentable.com/r/lale-mediterranean-restaurant-san-francisco?corrid=588afe1e-a195-4a2d-a9ed-9b5181c5b35e&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,LaLe Mediterranean & Turkish Restaurant,66 Reviews,4.6,Mediterranean,$30 and under,4.6,4.6,4.4,4.5,We are a family owned small business cooking our family recipes. LaLe is an extension of our home where we treat our guests with warm hospitality. Family owned Mediterranean-Turkish tapas bar; from scratch cooking for a healthy experience.," We loved LaLe. Went for dinner and basically just did a tasting menu with all of the different mezes / starters. Highly recommend.  I ate here with a friend and we shared a few dishes. The food was fresh and the flavors vibrant. We enjoyed talking with the owner and learned that we could buy some of the delicious dishes at various local grocery stores. The restaurant had a nice ambiance and is in a cute neighborhood where we walked around afterward.  Interesting wine list and even more intriguing menu.  Very attentive service, without being distracting.  No rush to “turn” the table.  Friendly and low-key atmosphere.  Good value and good experience.  Oh, and a glass of wine was a generous pour!  Great restaurant! Such good service and food, I will definitely be back!  We appreciate the very gracious service! Nice interior, and quiet on Wednesday. Sidewalk tables were too noisy and exterior plants could be more attractive.

Appetizers were very tasty!  Minty mushrooms, and Fennel Apple salad
Main dishes were also good: Moussaka, lamb shanks
Main dishes pretty good: 
Sultan's pie was very tasty (dish was cheesy if important to some)
Chicken kebob very nicely presented (a little dry)
Dessert:
Baklava sampler was nicely presented, but not outstanding flavors Read more Service was excellent, the food was very flavorful. We went there for a birthday dinner and they even provided a free birthday dessert. Overall, we loved it and we will definitely be returning.

Thank you! Read more If you’re looking for Turkish and Mediterranean type of food, come to this place! Fresh ingredients and so flavorful. Jose is your guy! Very welcoming and attentive. Thankful for this little gem.  Great food, good service, one of our favorite places.  Excellent restaurant. The food and service are great.  We had such an awesome time at LaLe! The service was great, everyone was really nice! The place is really nicely decorated. I had the vegan flatbread and it was one of the best things I’ve ever eaten! It was so hard to decide what to eat because there were so many options. As a vegan, that’s such a rare experience. I can’t wait to go back and try everything. ",https://resizer.otstatic.com/v2/photos/xlarge/1/25169845.webp
528,https://www.opentable.com/r/wine-so-cru-berkeley?corrid=588afe1e-a195-4a2d-a9ed-9b5181c5b35e&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Wine So Cru,2 Reviews,4.9,Wine Bar,$30 and under,4.3,4.8,4.9,4.4,"Wine So Cru is a wine merchant and lounge located in Berkeley. We offer a curated selection of wines from around the world. Enjoy wine by the glass in our relaxing lounge, or purchase a bottle to take home.

Wine So Cru is owned and operated by Nu-Beer Putthongvilai, a Certified Sommelier. Nu-Beer loves sharing her passion for wine and strives to create a relaxing neighborhood hangout where friends can gather.

We look forward to meeting you!","Read more A lovely neighborhood wine bar with great service from owners Nubeer and Sonny with expertly curated wines (by the glass,  bottle, or flights) plus a small retail shop for take home bottles!  The owners are great and the atmosphere is amazing ",https://resizer.otstatic.com/v2/photos/xlarge/3/55435530.webp
529,https://www.opentable.com/r/bridges-restaurant-danville-3?corrid=588afe1e-a195-4a2d-a9ed-9b5181c5b35e&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Bridges Restaurant,5102 Reviews,4.3,Californian,$31 to $50,4.3,4.4,4.5,4,"In it's 28-year history, Bridges has received many accolades and awards, including being honored as one of Diablo magazine's ""Seven Best Restaurants in the East Bay"". Whether dining on the lush, vine-covered patio while enjoying the sounds from our natural granite waterfall, or relaxing indoors amid a sophisticated, comfortable ambiance you will discover why Bridges is a favorite Bay Area dining destination. Executive Chef Kevin Gin awes with his innovative interpretation of California cuisine featuring European and Asian influences. The staff's professional eye for detail and commitment to exceptional service add to the upscale, yet unpretentious dining experience. Bridges warm elegance, spectacular menu and great energy make it the ideal venue for socializing with friends, celebrations, business meetings or private events.","Read more Excellent and prompt service. We needed to get to the airport on time to meet to visitor and no time was wasted.  Food and service was outstanding. New owner was very attentive to make sure we were enjoying are dining experience.  My wife and I love and frequent Bridges, food, service always excellent. Over the years we have hosted three major events and everyone had a wonderful time. We met the new owner Freddy introduced himself, welcomed our feedback on old and new menu items.  Phenomenal!  Under new ownership and definitely worth the visit.  Food, service and ambience was a 5 Star experience.  Aaron was our waiter , he’s very attentive and made our visit very pleasant .  Definitely will be back!  Best burgers in Danville !!!  We celebrated my husbands birthday here tonight, our server Ben was amazing, the food was amazing and the entertainer was great as well.  The food and service was incredible.  The salmon was cooked to perfection!  Staff were friendly, had great insight to the menu options and suggestions.  Great service and food was delicious!  This is our favorite restaurant. The food is always spectacular and the service is unsurpassed. It is our goto for any special occasion.  Our meals were delicious. The staff was very attentive. The restaurant is lovely. ",https://resizer.otstatic.com/v2/photos/xlarge/1/50791310.webp
530,https://www.opentable.com/r/naschmarkt-palo-alto?corrid=588afe1e-a195-4a2d-a9ed-9b5181c5b35e&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Naschmarkt - Palo Alto,368 Reviews,4.9,Austrian,$31 to $50,4.9,4.8,4.7,4.4,"Naschmarkt (NASH-MARKed) is a family-owned and operated premier and authentic restaurant that has been proudly serving the Campbell area and beyond since June 2011. Since then, our mission has been to provide high-quality food for all those that wish to combine fun and enjoyable ambiance with skillful cooking into one extraordinary dining experience.

The restaurant is named after the largest open-air produce market in Vienna, Austria. Austria’s history and geography influence much of its cuisine. Austria was once the center of the large Austro-Hungarian Empire stretching from France to Russia and from the Baltic Sea to Turkey, imparting a varied heritage to Austria's cuisine. Located in the center of Europe, Austria’s modern-day cuisine is influenced by surrounding countries like Germany, Hungary, Italy, and even France.","Read more Charming venue, superb service & delicious cuisine. Our favorite restaurant in the area!👍🙏  Everything I've ever ordered there, including soups and desserts, are absolutely worth ordering!  Food and service were excellent. We celebrated a birthday here and we were treated well. Excellent Jager Schnitzel, Sausage Trio, Strudel, and Sorbets. We wish we had ordered wine as the cocktails were a little disappointing. We hope to return for another special occasion.  Our waiter, Jose, was new and fabulous.  The price fix menu was wonderful and the food has a high standard.  It is delicious and beautifully presented.  Outstanding food.  We hat the watermelon gazpacho, chicken prapikch, and schnitzel.  Service was highly attentive.  We really enjoy this restaurant, great service and excellent food. Highly recommended.  Terrif Austrian food. My second visit. Sat outside for lunch this time.  Our server, Remzi, was attentive, but not overwhelming.  What ever you order you will love. Save room for the wonderful  apfel strudel for dessert!  Great service and food.  Well done!  Definitely a repeat for us.  Overall good lunch experience and good food, but service is a bit slow for lunch when you want to keep it to an hot or so.  I love to go to this restaurant. It is my favorite in Palo Alto. ",https://resizer.otstatic.com/v2/photos/xlarge/2/48518193.webp
531,https://www.opentable.com/r/cold-drinks-bar-san-francisco?corrid=7c9f3603-bce2-4a65-be56-bca1eb15c6ed&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2024-10-02T19%3A00%3A00,Cold Drinks Bar,53 Reviews,4.5,Bar / Lounge / Bottle Service,$31 to $50,4.4,4.6,4.4,3.8,"Serving Scotch-centric Cold Drinks, and featuring food from the Eight Tables by George Chen kitchen.
*
""The Six Best Cocktail Bars in San Francisco"" – NEWSWEEK
""25 Top-Shelf Cocktail Bars in San Francisco"" – EaterSF
""The best bars in San Francisco right now"" – TimeOut San Francisco
""The Bar Greatest Hits List"" – The Infatuation
*
“It’s a pseudo-secret, just above the bustling scene at China Live, accessible via stairwell; black bats painted on the walls lead the way to the door. Inside is a swanky, Scotch-filled bar where the bartenders wear tuxedos, and the vibe is modern Shanghai with a dash of old school San Francisco. Drinks are heavy on the Scotch, and there are many to choose from, so don’t be shy.” – High-End Scotch Concoctions Headline the New Menu at Chinatown’s Cold Drinks Bar – EaterSF","Read more Well balanced, carefully crafted cocktails. Not much for food options  Great service and delicious drinks! Staff was friendly and very knowledgeable!  Too many junk fees! They tax you on the mandatory 20% service charge  Great place to grab cocktails. Did not try the food the last time I visited. Cocktails are priced on the higher end after the 20% service charge.  Was not like the pictures! Much tinier spot but good service  Excellent experience! Love a bar where the emphasis is on the creation of well balanced and delicious drinks as opposed to one that looks fabulous and tastes mid. Definitely recommend!  Unique space above China Live. Unique, tasty cocktails and great bourbon selection. Pricey as 4 drinks with included tip topped $100 but I guess that’s SF norm now.  Great stop before dinner at China Live. Would absolutely go back!  Very nice lounge. My beautiful wife and I had a very nice time.  Hard to review on the food category since there are no meals served. I didn’t want to ruin the ratings average ",https://resizer.otstatic.com/v2/photos/xlarge/3/46764510.webp
